City,State,MGrid
"""AKIACHAK",AK,AP90gu
"""AKIAK",AK,AP90iv
"""AKUTAN",AK,AO74bd
"""ALAKANUK",AK,AP72tk
"""ALEKNAGIK",AK,BO09qf
"""ALLAKAKET",AK,BP36mn
"""AMBLER",AK,BP17bb
"""ANAKTUVUK PASS",AK,BP48dd
"""ANAKTUVUK",AK,BP48dd
"""ANCHORAGE",AK,BP51bf
"""ANCHORAGE",AK,BP51ad
"""ANCHORAGE",AK,BP51be
"""ANCHORAGE",AK,BP51ee
"""JBER",AK,BP51eh
"""ANCHORAGE",AK,BP51eh
"""FORT RICHARDSON",AK,BP51eh
"""FT RICHARDSON",AK,BP51eh
"""ANCH",AK,BP51eh
"""JBER",AK,BP51cg
"""ANCHORAGE",AK,BP51cg
"""ELMENDORF AFB",AK,BP51cg
"""ANCHORAGE",AK,BP51cd
"""ANCHORAGE",AK,BP51ce
"""ANCHORAGE",AK,BP51bc
"""ANCHORAGE",AK,BP51db
"""ANCHORAGE",AK,BP51ae
"""ANCHORAGE",AK,BP51bd
"""ANCHORAGE",AK,BP51de
"""ANCHORAGE",AK,BP51ag
"""INDIAN",AK,BP51ga
"""ANCHORAGE",AK,BP51ga
"""ANCHORAGE",AK,BP41qk
"""ANCHOR POINT",AK,BO49et
"""NIKOLAEVSK",AK,BO49et
"""ANGOON",AK,CO27sk
"""ANIAK",AK,BP01qe
"""CHUATHBALUK",AK,BP01qe
"""STONY RIVER",AK,BP01qe
"""ANVIK",AK,AP92vp
"""ARCTIC VILLAGE",AK,BP78fc
"""ARCTIC VLG",AK,BP78fc
"""BARROW",AK,BQ11og
"""PRUDHOE BAY",AK,BQ50na
"""BARROW",AK,BQ50na
"""POINT LAY",AK,AP89or
"""BARROW",AK,AP89or
"""NUIQSUT",AK,BP39wt
"""BARROW",AK,BP39wt
"""ATQASUK",AK,BQ10hl
"""BARROW",AK,BQ10hl
"""BEAVER",AK,BP66oh
"""BETHEL",AK,AP90cw
"""ATMAUTLUAK",AK,AP90cw
"""NAPASKIAK",AK,AP90cw
"""NEWTOK",AK,AP90cw
"""TOKSOOK BAY",AK,AP70km
"""BETHEL",AK,AP70km
"""TULUKSAK",AK,AP91tb
"""BETHEL",AK,AP91tb
"""TUNTUTULIAK",AK,AP80qj
